X,T,P,Y
0,99.9823,0.031321,0
0.002,99.4456,0.0323859,0.0209266
0.004,98.9288,0.0334184,0.0407741
0.006,98.431,0.0344195,0.0596165
0.008,97.9512,0.0353902,0.0775218
0.01,97.4888,0.0363315,0.0945521
0.012,97.0427,0.0372444,0.110765
0.014,96.6124,0.0381298,0.126212
0.016,96.1971,0.0389887,0.140943
0.018,95.7961,0.0398219,0.155002
0.02,95.4088,0.0406303,0.168431
0.022,95.0346,0.0414146,0.181266
0.024,94.673,0.0421757,0.193545
0.026,94.3233,0.0429142,0.205298
0.028,93.9851,0.043631,0.216557
0.03,93.6579,0.0443267,0.22735
0.032,93.3413,0.045002,0.237702
0.034,93.0348,0.0456576,0.247639
0.036,92.7379,0.046294,0.257182
0.038,92.4504,0.046912,0.266353
0.04,92.1718,0.047512,0.275172
0.042,91.9018,0.0480948,0.283657
0.044,91.64,0.0486607,0.291825
0.046,91.3862,0.0492104,0.299693
0.048,91.14,0.0497443,0.307274
0.05,90.9011,0.050263,0.314585
0.052,90.6692,0.0507669,0.321637
0.054,90.4441,0.0512565,0.328444
0.056,90.2256,0.0517323,0.335016
0.058,90.0134,0.0521947,0.341366
0.06,89.8072,0.052644,0.347503
0.062,89.6068,0.0530808,0.353437
0.064,89.4121,0.0535054,0.359177
0.066,89.2228,0.0539181,0.364733
0.068,89.0387,0.0543194,0.370112
0.07,88.8597,0.0547096,0.375321
0.072,88.6856,0.055089,0.38037
0.074,88.5162,0.055458,0.385263
0.076,88.3513,0.0558169,0.390008
0.078,88.1908,0.056166,0.394612
0.08,88.0345,0.0565056,0.399079
0.082,87.8823,0.056836,0.403416
0.084,87.7341,0.0571575,0.407628
0.086,87.5898,0.0574704,0.411719
0.088,87.4491,0.0577748,0.415696
0.09,87.312,0.0580711,0.419561
0.092,87.1783,0.0583596,0.42332
0.094,87.0481,0.0586404,0.426977
0.096,86.921,0.0589138,0.430535
0.098,86.7971,0.05918,0.433999
0.1,86.6763,0.0594392,0.437372
0.102,86.5583,0.0596917,0.440656
0.104,86.4433,0.0599376,0.443857
0.106,86.331,0.0601772,0.446976
0.108,86.2213,0.0604106,0.450016
0.11,86.1143,0.0606381,0.452981
0.112,86.0098,0.0608597,0.455873
0.114,85.9077,0.0610757,0.458695
0.116,85.808,0.0612863,0.461449
0.118,85.7105,0.0614916,0.464137
0.12,85.6153,0.0616917,0.466762
0.122,85.5223,0.0618868,0.469327
0.124,85.4313,0.0620772,0.471832
0.126,85.3424,0.0622628,0.47428
0.128,85.2554,0.0624439,0.476673
0.13,85.1704,0.0626206,0.479013
0.132,85.0872,0.062793,0.481302
0.134,85.0058,0.0629613,0.48354
0.136,84.9262,0.0631255,0.485731
0.138,84.8482,0.0632859,0.487875
0.14,84.772,0.0634424,0.489974
0.142,84.6973,0.0635953,0.492029
0.144,84.6242,0.0637446,0.494042
0.146,84.5525,0.0638904,0.496014
0.148,84.4824,0.0640329,0.497947
0.15,84.4137,0.0641721,0.499841
0.152,84.3464,0.0643082,0.501697
0.154,84.2804,0.0644412,0.503518
0.156,84.2158,0.0645712,0.505304
0.158,84.1524,0.0646984,0.507056
0.16,84.0903,0.0648227,0.508776
0.162,84.0294,0.0649443,0.510463
0.164,83.9696,0.0650633,0.512119
0.166,83.911,0.0651798,0.513746
0.168,83.8536,0.0652937,0.515343
0.17,83.7972,0.0654053,0.516913
0.172,83.7418,0.0655145,0.518455
0.174,83.6875,0.0656214,0.51997
0.176,83.6342,0.0657262,0.52146
0.178,83.5818,0.0658288,0.522924
0.18,83.5304,0.0659293,0.524365
0.182,83.4799,0.0660279,0.525781
0.184,83.4303,0.0661245,0.527175
0.186,83.3816,0.0662192,0.528547
0.188,83.3337,0.0663121,0.529897
0.19,83.2867,0.0664032,0.531226
0.192,83.2404,0.0664926,0.532535
0.194,83.195,0.0665803,0.533824
0.196,83.1503,0.0666664,0.535093
0.198,83.1063,0.0667509,0.536344
0.2,83.0631,0.0668339,0.537577
0.202,83.0206,0.0669155,0.538792
0.204,82.9788,0.0669956,0.53999
0.206,82.9376,0.0670743,0.541172
0.208,82.8971,0.0671516,0.542337
0.21,82.8572,0.0672277,0.543486
0.212,82.818,0.0673025,0.544621
0.214,82.7793,0.067376,0.54574
0.216,82.7413,0.0674484,0.546845
0.218,82.7038,0.0675196,0.547936
0.22,82.6669,0.0675897,0.549013
0.222,82.6305,0.0676587,0.550077
0.224,82.5947,0.0677267,0.551128
0.226,82.5593,0.0677937,0.552167
0.228,82.5245,0.0678596,0.553193
0.23,82.4902,0.0679246,0.554207
0.232,82.4563,0.0679887,0.55521
0.234,82.423,0.0680519,0.556202
0.236,82.39,0.0681142,0.557183
0.238,82.3576,0.0681757,0.558154
0.24,82.3255,0.0682364,0.559114
0.242,82.2939,0.0682963,0.560064
0.244,82.2627,0.0683554,0.561005
0.246,82.2319,0.0684137,0.561936
0.248,82.2015,0.0684714,0.562858
0.25,82.1715,0.0685284,0.563771
0.252,82.1419,0.0685847,0.564675
0.254,82.1126,0.0686403,0.565571
0.256,82.0837,0.0686953,0.566459
0.258,82.0551,0.0687497,0.567339
0.26,82.0269,0.0688035,0.568212
